variant,doc,gold,out,tp,P,R,F1,calls,repairs,prompt_tokens,completion_tokens,unresolved,unparsed,salvaged,merge_error,conforms,seconds
D,vignette_001,32,36,31,0.8611,0.9688,0.9118,21,8,43188,3455,0,0,0,False,True,59
D,vignette_002,152,166,140,0.8434,0.9211,0.8805,20,7,64684,15070,0,0,0,False,True,254
D,vignette_003,32,39,26,0.6667,0.8125,0.7324,20,6,40700,3268,0,0,0,False,True,53
D,vignette_004,130,142,124,0.8732,0.9538,0.9118,13,2,38188,8905,0,0,0,False,True,149
D,vignette_005,266,285,252,0.8842,0.9474,0.9147,21,8,84491,27382,0,0,0,False,True,437
D,vignette_006,117,129,107,0.8295,0.9145,0.8699,19,6,52597,10695,0,0,0,False,True,185
D,vignette_007,272,286,239,0.8357,0.8787,0.8566,19,6,77288,22622,0,0,0,False,True,360
D,vignette_008,139,154,127,0.8247,0.9137,0.8669,18,4,52567,10672,0,0,0,False,True,186
D,vignette_009,244,271,232,0.8561,0.9508,0.901,15,0,53826,17199,0,0,0,False,True,279
D,vignette_010,32,36,22,0.6111,0.6875,0.6471,19,7,43270,4425,0,0,0,False,True,76
D,vignette_011,310,340,292,0.8588,0.9419,0.8985,18,1,70655,21340,0,0,0,False,True,347
D,vignette_012,233,257,221,0.8599,0.9485,0.902,15,0,51538,23847,0,0,0,True,False,406
D,vignette_013,222,241,210,0.8714,0.9459,0.9071,21,6,72822,19667,0,0,0,False,False,325
D,vignette_014,32,37,32,0.8649,1.0,0.9275,20,7,41413,3623,0,0,0,False,True,60
D,vignette_015,397,397,321,0.8086,0.8086,0.8086,23,5,83539,22481,0,0,0,True,False,358
D,vignette_016,222,239,210,0.8787,0.9459,0.9111,22,9,81057,21660,0,0,0,False,True,365
D,vignette_017,384,405,360,0.8889,0.9375,0.9125,19,1,62033,12968,0,0,0,True,False,161
D,vignette_018,32,37,32,0.8649,1.0,0.9275,13,0,27848,2554,0,0,0,False,True,51
D,vignette_019,301,326,283,0.8681,0.9402,0.9027,17,0,64130,19145,0,0,0,False,True,330
D,vignette_020,244,268,228,0.8507,0.9344,0.8906,17,0,57800,15596,0,0,0,False,True,276
D,vignette_021,458,454,376,0.8282,0.821,0.8246,21,6,93903,32794,0,0,0,True,False,428
D,vignette_022,233,273,203,0.7436,0.8712,0.8024,21,7,86861,20206,0,0,0,False,False,385
D,vignette_023,305,332,298,0.8976,0.977,0.9356,20,5,91559,36856,0,0,0,False,False,527
D,vignette_024,176,195,163,0.8359,0.9261,0.8787,17,5,55085,11618,0,0,0,False,True,233
D,vignette_025,296,311,241,0.7749,0.8142,0.7941,20,7,86719,32630,0,0,0,False,False,558
D,vignette_026,141,148,126,0.8514,0.8936,0.872,15,4,44925,10632,0,0,0,False,True,185
D,vignette_027,43,51,43,0.8431,1.0,0.9149,18,5,39638,4316,0,0,0,False,True,78
D,vignette_028,220,237,199,0.8397,0.9045,0.8709,23,9,79848,21245,0,0,0,False,True,347
D,vignette_029,139,140,117,0.8357,0.8417,0.8387,18,7,55148,14585,0,0,0,False,True,256
D,vignette_030,368,387,233,0.6021,0.6332,0.6172,28,10,107585,23388,0,0,0,True,False,366
D,vignette_031,152,167,144,0.8623,0.9474,0.9028,18,7,55946,12749,0,0,0,False,True,224
D,vignette_032,45,51,39,0.7647,0.8667,0.8125,19,6,42041,4158,0,0,0,False,True,73
D,vignette_033,43,49,43,0.8776,1.0,0.9348,18,5,39352,4396,0,0,0,False,True,78
D,vignette_034,309,337,276,0.819,0.8932,0.8545,21,7,90307,27905,0,0,0,False,True,461
D,vignette_035,141,154,134,0.8701,0.9504,0.9085,16,6,49571,12098,0,0,0,False,True,205
D,vignette_036,174,188,155,0.8245,0.8908,0.8564,17,6,57374,13278,0,0,0,False,True,225
D,vignette_037,209,232,189,0.8147,0.9043,0.8571,23,8,76227,16448,0,0,0,False,True,272
D,vignette_038,163,174,151,0.8678,0.9264,0.8961,16,5,50579,10392,0,0,0,False,True,179
D,vignette_039,132,133,108,0.812,0.8182,0.8151,19,5,54913,9810,0,0,0,False,True,168
D,vignette_040,45,53,38,0.717,0.8444,0.7755,19,6,41923,4281,0,0,0,False,True,70
D,vignette_041,198,215,192,0.893,0.9697,0.9298,26,8,79846,20695,0,0,0,False,True,316
D,vignette_042,130,134,113,0.8433,0.8692,0.8561,17,4,48147,9618,0,0,0,False,True,171
D,vignette_043,296,317,218,0.6877,0.7365,0.7113,22,7,89836,27201,0,0,0,False,False,439
D,vignette_044,154,168,141,0.8393,0.9156,0.8758,18,5,54637,12387,0,0,0,False,True,216
D,vignette_045,143,157,131,0.8344,0.9161,0.8733,15,4,45017,9956,0,0,0,False,True,171
D,vignette_046,200,217,194,0.894,0.97,0.9305,15,0,48240,12583,0,0,0,False,True,218
D,vignette_047,272,303,228,0.7525,0.8382,0.793,21,8,84768,25696,0,0,0,False,True,413
D,vignette_048,119,130,108,0.8308,0.9076,0.8675,16,5,45838,9633,0,0,0,False,False,170
D,vignette_049,108,121,102,0.843,0.9444,0.8908,16,2,41747,7236,0,0,0,False,True,132
D,vignette_050,32,37,31,0.8378,0.9688,0.8986,19,6,39946,3602,0,0,0,False,True,68
D,vignette_051,130,143,130,0.9091,1.0,0.9524,15,4,44598,9747,0,0,0,False,True,173
D,vignette_052,115,127,109,0.8583,0.9478,0.9008,11,0,32288,7681,0,0,0,False,True,127
D,vignette_053,196,212,165,0.7783,0.8418,0.8088,20,7,69582,18915,0,0,0,False,True,311
D,vignette_054,130,143,124,0.8671,0.9538,0.9084,17,6,52196,12772,0,0,0,False,True,204
D,vignette_055,117,117,98,0.8376,0.8376,0.8376,16,5,45534,8521,0,0,0,False,True,145
D,vignette_056,283,308,252,0.8182,0.8905,0.8528,15,1,60858,18471,0,0,0,False,True,308
D,vignette_057,248,268,214,0.7985,0.8629,0.8295,21,9,81413,53898,0,0,0,False,True,877
D,vignette_058,117,118,106,0.8983,0.906,0.9021,15,2,40708,7526,0,0,0,False,True,140
D,vignette_059,117,129,117,0.907,1.0,0.9512,15,2,40657,8149,0,0,0,False,True,147
D,vignette_060,117,129,117,0.907,1.0,0.9512,15,2,40565,7613,0,0,0,False,True,121
D,vignette_061,117,131,117,0.8931,1.0,0.9435,12,0,33627,7446,0,0,0,False,True,120
D,vignette_062,141,157,138,0.879,0.9787,0.9262,19,6,56673,12313,0,0,0,False,True,208
D,vignette_063,141,159,138,0.8679,0.9787,0.92,20,6,54367,9564,0,0,0,False,True,164
D,vignette_064,239,266,208,0.782,0.8703,0.8238,23,9,90724,25478,0,0,0,False,True,390
D,vignette_065,141,157,138,0.879,0.9787,0.9262,14,0,41027,10141,0,0,0,False,True,189
D,vignette_066,108,118,102,0.8644,0.9444,0.9027,13,0,34972,6868,0,0,0,False,True,131
D,vignette_067,108,119,108,0.9076,1.0,0.9515,18,7,49434,9336,0,0,0,False,True,159
D,vignette_068,108,119,104,0.8739,0.963,0.9163,14,1,38658,8345,0,0,0,False,True,149
D,vignette_069,108,119,107,0.8992,0.9907,0.9427,17,5,46336,8722,0,0,0,False,True,146
D,vignette_070,108,111,100,0.9009,0.9259,0.9132,16,5,44258,8371,0,0,0,False,True,146
D,vignette_071,239,262,209,0.7977,0.8745,0.8343,22,9,85253,19341,0,0,0,False,True,309
D,vignette_072,119,131,113,0.8626,0.9496,0.904,13,0,36496,7697,0,0,0,False,True,142
D,vignette_073,130,143,124,0.8671,0.9538,0.9084,11,0,33451,8269,0,0,0,False,True,142
D,vignette_074,32,37,31,0.8378,0.9688,0.8986,16,4,34453,3443,0,0,0,False,True,56
D,vignette_075,32,36,30,0.8333,0.9375,0.8824,17,5,36440,2934,0,0,0,False,True,45
D,vignette_076,233,255,221,0.8667,0.9485,0.9057,20,7,70315,21924,0,0,0,False,True,385
D,vignette_077,288,317,280,0.8833,0.9722,0.9256,17,0,63402,18697,0,0,0,False,True,331
D,vignette_078,386,381,306,0.8031,0.7927,0.7979,25,7,92935,21009,0,0,0,True,False,291
D,vignette_079,277,302,265,0.8775,0.9567,0.9154,20,7,89712,30530,0,0,0,False,False,479
D,vignette_080,222,243,216,0.8889,0.973,0.929,22,9,81249,22942,0,0,0,False,True,376
D,vignette_081,32,37,31,0.8378,0.9688,0.8986,14,2,30252,2811,0,0,0,False,True,48
D,vignette_082,45,51,42,0.8235,0.9333,0.875,21,8,46356,4919,0,0,0,False,True,85
D,vignette_083,255,282,235,0.8333,0.9216,0.8752,26,9,95699,27159,0,0,0,False,False,442
D,vignette_084,248,274,224,0.8175,0.9032,0.8582,23,9,84656,24611,0,0,0,False,False,405
D,vignette_085,117,131,117,0.8931,1.0,0.9435,19,6,51812,9058,0,0,0,False,True,155
D,vignette_086,117,129,117,0.907,1.0,0.9512,18,5,49289,9695,0,0,0,False,True,165
D,vignette_087,117,129,117,0.907,1.0,0.9512,17,6,48517,11062,0,0,0,False,True,187
