variant,doc,gold,out,tp,P,R,F1,calls,repairs,prompt_tokens,completion_tokens,unresolved,unparsed,salvaged,merge_error,conforms,seconds
D,vignette_001,32,36,31,0.8611,0.9688,0.9118,16,5,34314,3325,0,0,0,False,True,48
D,vignette_004,130,142,124,0.8732,0.9538,0.9118,17,6,50758,10197,0,0,0,False,True,168
D,vignette_005,266,262,233,0.8893,0.8759,0.8826,20,5,77672,19030,0,0,0,False,True,314
D,vignette_017,384,412,350,0.8495,0.9115,0.8794,22,0,69049,14698,0,0,0,True,True,188
D,vignette_024,176,193,163,0.8446,0.9261,0.8835,20,7,64747,14352,0,0,0,False,True,255
D,vignette_025,296,317,252,0.795,0.8514,0.8222,17,4,69002,20727,0,0,0,False,True,338
D,vignette_035,141,154,134,0.8701,0.9504,0.9085,17,5,51197,11229,0,0,0,False,True,204
D,vignette_058,117,129,117,0.907,1.0,0.9512,12,0,33822,7325,0,0,0,False,True,122
D,vignette_063,141,157,138,0.879,0.9787,0.9262,21,8,61309,11838,0,0,0,False,True,190
D,vignette_067,108,119,108,0.9076,1.0,0.9515,11,0,31048,6839,0,0,0,False,True,110
D,vignette_071,239,262,209,0.7977,0.8745,0.8343,13,0,48228,15224,0,0,0,False,True,249
D,vignette_075,32,37,31,0.8378,0.9688,0.8986,21,8,42868,3486,0,0,0,False,True,59
D,vignette_088,117,129,117,0.907,1.0,0.9512,19,6,51968,10009,0,0,0,False,True,176
D,vignette_095,222,237,210,0.8861,0.9459,0.915,16,2,54387,15496,0,0,0,False,True,256
D,vignette_099,364,387,322,0.832,0.8846,0.8575,18,0,53638,10442,0,0,0,True,True,131
D,vignette_110,417,415,335,0.8072,0.8034,0.8053,23,8,91339,19307,0,0,0,True,False,247
D,vignette_116,428,454,359,0.7907,0.8388,0.8141,26,8,105417,26466,0,0,0,True,False,370
D,vignette_130,207,224,204,0.9107,0.9855,0.9466,21,8,72909,20155,0,0,0,False,True,366
D,vignette_134,485,485,417,0.8598,0.8598,0.8598,27,5,104766,27143,0,0,0,True,True,400
D,vignette_141,496,431,350,0.8121,0.7056,0.7551,35,13,151856,49171,0,0,0,True,False,604
D,vignette_143,627,728,519,0.7129,0.8278,0.7661,28,4,121278,51694,0,0,0,True,False,933
D,vignette_147,43,48,42,0.875,0.9767,0.9231,20,7,43443,4142,0,0,0,False,False,85
D,vignette_157,483,453,370,0.8168,0.766,0.7906,29,8,119126,46690,0,0,0,True,False,608
D,vignette_158,472,437,385,0.881,0.8157,0.8471,29,7,114790,21786,0,0,0,True,False,316
D,vignette_163,496,502,421,0.8386,0.8488,0.8437,27,6,111349,38016,0,0,0,True,False,535
D,vignette_170,207,226,203,0.8982,0.9807,0.9376,20,5,64881,17714,0,0,0,False,True,298
D,vignette_179,463,449,367,0.8174,0.7927,0.8048,31,13,135928,45284,0,0,0,True,False,583
