variant,doc,gold,out,tp,P,R,F1,calls,repairs,prompt_tokens,completion_tokens,unresolved,unparsed,salvaged,merge_error,conforms,seconds
A,vignette_001,32,37,32,0.8649,1.0,0.9275,12,0,31389,2964,0,0,0,False,True,46
A,vignette_004,130,141,123,0.8723,0.9462,0.9077,10,0,35766,11400,0,0,0,False,True,198
A,vignette_005,266,287,257,0.8955,0.9662,0.9295,19,4,101522,35794,0,1,0,False,True,551
A,vignette_017,384,413,371,0.8983,0.9661,0.931,30,8,155138,37521,0,0,0,True,False,418
A,vignette_024,176,194,163,0.8402,0.9261,0.8811,12,1,45621,17358,0,0,0,False,True,311
A,vignette_025,296,313,263,0.8403,0.8885,0.8637,16,3,84662,35489,0,0,0,False,False,554
A,vignette_035,141,158,132,0.8354,0.9362,0.8829,14,1,46531,13247,0,0,0,False,True,223
A,vignette_058,117,129,117,0.907,1.0,0.9512,12,0,39659,8693,0,0,0,False,True,147
A,vignette_063,141,155,140,0.9032,0.9929,0.9459,10,0,36850,11234,0,0,0,False,True,186
A,vignette_067,108,120,107,0.8917,0.9907,0.9386,11,0,37032,10707,0,0,0,False,True,174
A,vignette_071,239,256,224,0.875,0.9372,0.9051,15,2,72803,29000,0,0,0,False,True,451
A,vignette_075,32,37,32,0.8649,1.0,0.9275,13,0,33667,3179,0,0,0,False,True,50
A,vignette_088,117,129,117,0.907,1.0,0.9512,12,0,40226,10552,0,0,0,False,True,179
A,vignette_095,222,240,214,0.8917,0.964,0.9264,11,0,46562,19047,0,0,0,False,True,308
A,vignette_099,364,395,357,0.9038,0.9808,0.9407,15,0,74851,34290,0,0,0,False,True,552
A,vignette_110,417,438,374,0.8539,0.8969,0.8749,24,9,143988,51675,0,0,0,True,False,700
A,vignette_116,428,385,250,0.6494,0.5841,0.615,25,10,142716,54961,0,1,0,True,False,790
A,vignette_130,207,185,153,0.827,0.7391,0.7806,19,6,85952,33823,0,1,0,True,False,537
A,vignette_134,485,402,242,0.602,0.499,0.5457,31,9,186970,54970,0,2,0,True,False,798
A,vignette_141,496,393,325,0.827,0.6552,0.7312,25,8,153545,60391,0,1,0,True,False,930
A,vignette_143,627,675,391,0.5793,0.6236,0.6006,27,3,184772,66748,0,1,0,True,False,1015
A,vignette_147,43,49,40,0.8163,0.9302,0.8696,13,0,35132,3974,0,0,0,False,False,74
A,vignette_157,483,388,316,0.8144,0.6542,0.7256,29,11,179695,77388,0,2,0,True,False,1121
A,vignette_158,472,586,419,0.715,0.8877,0.7921,26,4,147892,39169,0,0,0,True,False,547
A,vignette_163,496,579,391,0.6753,0.7883,0.7274,26,5,171915,65514,0,0,0,True,False,1197
A,vignette_170,207,225,200,0.8889,0.9662,0.9259,19,4,87238,29861,0,0,0,False,False,465
A,vignette_179,463,500,437,0.874,0.9438,0.9076,21,3,114897,46073,0,0,0,True,False,746
A,vignette_190,393,266,232,0.8722,0.5903,0.7041,21,5,99001,39833,0,2,0,True,False,734
A,vignette_193,404,328,176,0.5366,0.4356,0.4809,26,6,129763,42534,0,2,0,True,False,611
A,vignette_196,207,228,203,0.8904,0.9807,0.9333,16,1,70085,24577,0,0,0,False,True,368
D,vignette_001,32,37,32,0.8649,1.0,0.9275,19,7,39716,3561,0,0,0,False,True,57
D,vignette_004,130,138,118,0.8551,0.9077,0.8806,16,5,46967,10823,0,0,0,False,True,183
D,vignette_005,266,291,260,0.8935,0.9774,0.9336,20,5,77797,24585,0,0,0,False,True,437
D,vignette_017,384,412,349,0.8471,0.9089,0.8769,22,0,69169,13245,0,0,0,True,True,166
D,vignette_024,176,193,163,0.8446,0.9261,0.8835,16,5,52326,13304,0,0,0,False,True,241
D,vignette_025,296,308,181,0.5877,0.6115,0.5993,24,10,105865,37478,0,0,0,True,False,594
D,vignette_035,141,156,134,0.859,0.9504,0.9024,19,6,52207,10756,0,0,0,False,True,169
D,vignette_058,117,125,108,0.864,0.9231,0.8926,10,0,29508,7123,0,0,0,False,True,124
D,vignette_063,141,154,132,0.8571,0.9362,0.8949,16,6,49375,11938,0,0,0,False,True,200
D,vignette_067,108,119,108,0.9076,1.0,0.9515,14,3,38388,7158,0,0,0,False,True,116
D,vignette_071,239,261,209,0.8008,0.8745,0.836,20,7,78087,26455,0,0,0,False,True,389
D,vignette_075,32,37,32,0.8649,1.0,0.9275,14,1,30095,2824,0,0,0,False,True,50
D,vignette_088,117,129,117,0.907,1.0,0.9512,17,5,47956,9995,0,0,0,False,True,174
D,vignette_095,222,238,206,0.8655,0.9279,0.8957,14,0,48019,22118,0,0,0,True,True,400
D,vignette_099,364,391,319,0.8159,0.8764,0.845,20,2,59743,11713,0,0,0,True,False,169
D,vignette_110,417,383,296,0.7728,0.7098,0.74,23,8,97382,32908,0,0,0,True,True,460
D,vignette_116,428,429,365,0.8508,0.8528,0.8518,26,8,105049,31517,0,0,0,True,True,426
D,vignette_130,207,222,194,0.8739,0.9372,0.9044,14,3,49043,14615,0,0,0,False,False,248
D,vignette_134,485,518,457,0.8822,0.9423,0.9113,22,0,70952,17821,0,0,0,True,False,253
D,vignette_141,496,460,391,0.85,0.7883,0.818,33,12,140636,71651,0,0,0,True,True,872
D,vignette_143,627,573,466,0.8133,0.7432,0.7767,36,12,160482,47286,0,0,0,True,True,665
D,vignette_147,43,49,43,0.8776,1.0,0.9348,23,10,48474,5250,0,0,0,False,False,93
D,vignette_157,483,441,385,0.873,0.7971,0.8333,28,10,126489,63752,0,0,0,True,False,911
D,vignette_158,472,438,332,0.758,0.7034,0.7297,32,10,133108,59798,0,0,0,True,False,949
D,vignette_163,496,458,382,0.8341,0.7702,0.8008,29,8,120754,42601,0,0,0,True,False,509
D,vignette_170,207,211,188,0.891,0.9082,0.8995,21,6,68878,14212,0,0,0,False,True,265
D,vignette_179,463,370,279,0.7541,0.6026,0.6699,29,8,118042,55456,0,0,0,True,False,838
D,vignette_190,393,459,385,0.8388,0.9796,0.9038,18,3,70515,22952,0,0,0,True,False,404
D,vignette_193,404,371,328,0.8841,0.8119,0.8465,27,9,106108,38567,0,0,0,True,True,457
D,vignette_196,207,227,205,0.9031,0.9903,0.9447,15,0,50081,14027,0,0,0,False,True,185
