variant,doc,gold,out,tp,P,R,F1,calls,repairs,prompt_tokens,completion_tokens,unresolved,unparsed,salvaged,merge_error,conforms,seconds
A,vignette_001,32,37,32,0.8649,1.0,0.9275,12,0,31407,3037,0,0,0,False,True,53
A,vignette_004,130,142,123,0.8662,0.9462,0.9044,15,2,53940,14525,0,0,0,False,True,229
A,vignette_005,266,313,242,0.7732,0.9098,0.8359,26,11,142038,53323,0,1,0,True,False,626
A,vignette_017,384,466,304,0.6524,0.7917,0.7153,26,4,137690,46198,0,0,0,True,False,697
A,vignette_024,176,197,159,0.8071,0.9034,0.8525,21,8,103225,31173,0,0,0,False,False,529
A,vignette_025,296,340,264,0.7765,0.8919,0.8302,18,5,106517,47219,0,0,0,False,False,776
A,vignette_035,141,159,132,0.8302,0.9362,0.88,14,1,47418,14126,0,0,0,False,True,239
A,vignette_058,117,137,117,0.854,1.0,0.9213,11,1,39694,13800,0,0,0,False,True,222
A,vignette_063,141,155,141,0.9097,1.0,0.9527,12,0,42435,13326,0,0,0,False,True,224
A,vignette_067,108,119,108,0.9076,1.0,0.9515,11,0,37104,10546,0,0,0,False,True,175
A,vignette_071,239,261,235,0.9004,0.9833,0.94,15,2,71253,26594,0,0,0,False,True,398
A,vignette_075,32,37,31,0.8378,0.9688,0.8986,13,0,33873,3452,0,0,0,False,True,64
A,vignette_088,117,129,117,0.907,1.0,0.9512,14,1,47614,12684,0,0,0,False,True,201
A,vignette_095,222,238,201,0.8445,0.9054,0.8739,14,1,61453,25582,0,0,0,False,False,402
A,vignette_099,364,380,322,0.8474,0.8846,0.8656,17,2,98350,42438,0,0,0,False,False,655
A,vignette_110,417,454,407,0.8965,0.976,0.9346,19,4,102571,39238,0,0,0,True,True,500
A,vignette_116,428,502,164,0.3267,0.3832,0.3527,33,15,211054,64664,0,1,0,True,False,820
A,vignette_130,207,223,192,0.861,0.9275,0.893,15,2,68491,26249,0,0,0,False,False,442
A,vignette_134,485,572,143,0.25,0.2948,0.2706,42,20,294602,101110,0,1,0,True,False,1201
A,vignette_141,496,552,438,0.7935,0.8831,0.8359,30,8,171724,54924,0,0,0,True,False,789
A,vignette_143,627,667,484,0.7256,0.7719,0.7481,32,8,206806,62951,0,0,0,True,False,905
A,vignette_147,43,49,40,0.8163,0.9302,0.8696,14,1,36321,4073,0,0,0,False,True,77
A,vignette_157,483,458,293,0.6397,0.6066,0.6227,24,7,146844,53757,0,1,0,True,False,768
A,vignette_158,472,536,229,0.4272,0.4852,0.4544,44,19,269453,68090,0,0,0,True,False,838
A,vignette_163,496,612,119,0.1944,0.2399,0.2148,39,18,266878,92508,0,1,0,True,False,1007
A,vignette_170,207,225,200,0.8889,0.9662,0.9259,25,10,131081,36165,0,0,0,False,False,556
A,vignette_179,463,564,157,0.2784,0.3391,0.3057,36,15,218570,58212,0,0,0,True,False,691
A,vignette_190,393,369,234,0.6341,0.5954,0.6142,23,8,132801,55242,0,1,0,True,False,853
A,vignette_193,404,470,376,0.8,0.9307,0.8604,24,3,102796,33378,0,1,0,True,False,464
A,vignette_196,207,210,179,0.8524,0.8647,0.8585,15,2,62928,21188,0,0,0,False,False,330
B,vignette_001,32,38,32,0.8421,1.0,0.9143,14,2,32240,3403,0,0,0,False,True,57
B,vignette_004,130,144,123,0.8542,0.9462,0.8978,11,0,36431,12809,0,0,0,False,True,202
B,vignette_005,266,279,238,0.853,0.8947,0.8734,17,2,71115,26068,0,0,0,False,False,393
B,vignette_017,384,381,324,0.8504,0.8438,0.8471,27,6,136553,41383,0,0,0,True,False,479
B,vignette_024,176,198,161,0.8131,0.9148,0.861,22,9,108980,31122,0,0,0,False,False,517
B,vignette_025,296,319,270,0.8464,0.9122,0.878,14,0,63260,27979,0,0,0,False,False,428
B,vignette_035,141,165,132,0.8,0.9362,0.8627,14,1,46353,13765,0,0,0,False,True,233
B,vignette_058,117,129,117,0.907,1.0,0.9512,10,0,32617,11298,0,0,0,False,True,183
B,vignette_063,141,170,141,0.8294,1.0,0.9068,18,6,71962,28650,0,0,0,False,False,396
B,vignette_067,108,126,107,0.8492,0.9907,0.9145,12,1,41325,12433,0,0,0,False,True,202
B,vignette_071,239,264,239,0.9053,1.0,0.9503,22,9,108749,41802,0,0,0,False,False,617
B,vignette_075,32,37,31,0.8378,0.9688,0.8986,14,1,32081,3475,0,0,0,False,True,56
B,vignette_088,117,129,117,0.907,1.0,0.9512,11,0,34675,11383,0,0,0,False,True,183
B,vignette_095,222,244,216,0.8852,0.973,0.927,14,0,54199,20921,0,0,0,False,True,328
B,vignette_099,364,396,341,0.8611,0.9368,0.8974,18,3,79225,27993,0,0,0,True,False,394
B,vignette_110,417,394,350,0.8883,0.8393,0.8631,19,4,90791,35946,0,1,0,True,True,482
B,vignette_116,428,446,114,0.2556,0.2664,0.2609,25,9,147485,58761,0,1,0,True,False,914
